candidate_id,page,frame_bbox,symbol_bbox,num_cells,top1_class,top1_score,top2_class,top2_score,margin,decision_policy,catalog_complete,referenced_datums,unresolved_fields,human_is_real_gdt,human_true_characteristic,human_notes
GDT-V2-P01-255,1,"[2094.873, 1407.927, 2105.018, 1416.109]","[2094.873, 1407.927, 2099.127, 1416.109]",2,circular_runout,0.538027,position,0.428449,0.109578,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-256,1,"[2211.709, 1408.255, 2221.2, 1415.782]","[2211.709, 1408.255, 2215.636, 1414.8]",2,circular_runout,0.567132,position,0.357057,0.210076,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-257,1,"[2072.291, 1423.964, 2082.109, 1431.491]","[2072.291, 1423.964, 2076.873, 1431.491]",2,position,0.331343,circular_runout,0.329062,0.002281,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-258,1,"[2211.709, 1424.291, 2220.545, 1432.145]","[2211.709, 1424.291, 2215.309, 1430.836]",2,cylindricity,0.436482,parallelism,0.381316,0.055166,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-259,1,"[2066.4, 1440.327, 2093.564, 1448.182]","[2066.4, 1440.327, 2071.309, 1447.527]",5,circular_runout,0.317083,position,0.307824,0.009259,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-260,1,"[2072.291, 1440.327, 2105.345, 1448.182]","[2072.291, 1440.327, 2076.873, 1447.527]",6,position,0.341456,circular_runout,0.341384,7.2e-05,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-261,1,"[1569.927, 1447.855, 1578.436, 1471.745]","[1569.927, 1447.855, 1574.836, 1471.745]",2,angularity,-0.600000,circular_runout,-0.600000,0.0,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-262,1,"[2066.4, 1456.364, 2082.109, 1463.891]","[2066.4, 1456.364, 2070.982, 1463.564]",3,position,0.321121,circular_runout,0.287680,0.033441,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-263,1,"[2211.055, 1456.364, 2221.2, 1464.545]","[2211.055, 1456.364, 2215.309, 1464.545]",2,circular_runout,0.531446,position,0.425851,0.105595,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-264,1,"[2095.527, 1456.691, 2105.018, 1463.236]","[2095.527, 1456.691, 2099.127, 1463.236]",2,cylindricity,0.451769,parallelism,0.385465,0.066304,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-265,1,"[71.018, 1457.018, 272.291, 1498.582]","[71.018, 1457.018, 84.764, 1498.255]",6,position,0.361527,symmetry,0.350162,0.011365,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-266,1,"[2032.364, 1468.473, 2354.727, 1501.855]","[2032.364, 1468.473, 2125.964, 1501.855]",5,position,0.411526,profile,0.353130,0.058396,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-267,1,"[1571.236, 1478.618, 1589.891, 1491.709]","[1571.236, 1479.6, 1574.836, 1491.709]",3,perpendicularity,0.411673,position,0.341392,0.070281,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-268,1,"[1333.636, 1497.273, 1339.527, 1536.545]","[1333.636, 1497.273, 1339.855, 1536.545]",2,perpendicularity,0.502437,position,0.290670,0.211766,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-269,1,"[71.018, 1498.255, 272.291, 1512.655]","[71.018, 1498.582, 84.764, 1512.655]",6,perpendicularity,0.370286,flatness,0.360254,0.010032,ranking_only_no_global_threshold,,,,,,
